,Unnamed: 0,date,index,day_index,ticker,close,volume,vwap,change
0,50135,3/15/2018,50135,0,FTNT,54.18,962182,54.3933,0.0
1,50136,3/16/2018,50136,0,FTNT,54.0,2274927,54.1083,-0.17999999999999972
2,50137,3/19/2018,50137,0,FTNT,53.35,1385743,52.973,-0.6499999999999986
3,50138,3/20/2018,50138,0,FTNT,53.78,717219,53.7647,0.4299999999999997
4,50139,3/21/2018,50139,0,FTNT,54.57,1527438,54.6869,0.7899999999999991
5,50140,3/22/2018,50140,0,FTNT,53.61,909622,53.9269,-0.9600000000000009
6,50141,3/23/2018,50141,0,FTNT,52.95,1207762,53.2784,-0.6599999999999966
7,50142,3/26/2018,50142,0,FTNT,54.58,978120,54.1927,1.6299999999999955
8,50143,3/27/2018,50143,0,FTNT,53.33,1338390,54.2316,-1.25
9,50144,3/28/2018,50144,0,FTNT,52.28,2012857,52.4414,-1.0499999999999972
10,50145,3/29/2018,50145,0,FTNT,53.58,1352148,53.3291,1.2999999999999972
11,50146,4/2/2018,50146,0,FTNT,52.43,954436,52.4849,-1.1499999999999986
12,50147,4/3/2018,50147,0,FTNT,53.43,1499978,53.2851,1.0
13,50148,4/4/2018,50148,0,FTNT,54.31,1240083,53.754,0.8800000000000026
14,50149,4/5/2018,50149,0,FTNT,54.59,1007104,54.6393,0.28000000000000114
15,50150,4/6/2018,50150,0,FTNT,54.33,1241784,54.4238,-0.2600000000000051
16,50151,4/9/2018,50151,0,FTNT,54.47,1233569,54.9722,0.14000000000000057
17,50152,4/10/2018,50152,0,FTNT,56.23,1485892,55.9213,1.759999999999998
18,50153,4/11/2018,50153,0,FTNT,54.83,2301234,55.3409,-1.3999999999999986
19,50154,4/12/2018,50154,0,FTNT,56.09,1384160,56.01300000000001,1.2600000000000051
20,50155,4/13/2018,50155,0,FTNT,55.84,816749,55.9315,-0.25
21,50156,4/16/2018,50156,0,FTNT,56.76,1161431,56.7501,0.9199999999999946
22,50157,4/17/2018,50157,0,FTNT,57.67,1454786,57.472,0.9100000000000037
23,50158,4/18/2018,50158,0,FTNT,57.49,844380,57.6149,-0.17999999999999972
24,50159,4/19/2018,50159,0,FTNT,57.41,764506,57.3211,-0.0800000000000054
25,50160,4/20/2018,50160,0,FTNT,57.15,686201,57.1872,-0.259999999999998
26,50161,4/23/2018,50161,0,FTNT,56.74,1554280,56.9645,-0.4099999999999966
27,50162,4/24/2018,50162,0,FTNT,56.07,1349419,56.3926,-0.6700000000000017
28,50163,4/25/2018,50163,0,FTNT,54.8,2438044,54.8271,-1.2700000000000031
29,50164,4/26/2018,50164,0,FTNT,55.42,1647075,55.6306,0.6200000000000045
30,50165,4/27/2018,50165,0,FTNT,54.93,1500677,55.17,-0.490000000000002
31,50166,4/30/2018,50166,0,FTNT,55.36,1527529,55.5572,0.4299999999999997
32,50167,5/1/2018,50167,0,FTNT,55.74,1238107,55.3737,0.38000000000000256
33,50168,5/2/2018,50168,0,FTNT,55.94,1347397,56.0282,0.19999999999999574
34,50169,5/3/2018,50169,0,FTNT,56.11,2799052,55.8701,0.1700000000000017
35,50170,5/4/2018,50170,0,FTNT,54.74,3490049,54.6731,-1.3699999999999974
36,50171,5/7/2018,50171,0,FTNT,55.69,1603314,55.4957,0.9499999999999957
37,50172,5/8/2018,50172,0,FTNT,56.94,2134346,56.4653,1.25
38,50173,5/9/2018,50173,0,FTNT,59.02,2541955,58.5048,2.0800000000000054
39,50174,5/10/2018,50174,0,FTNT,60.16,1464738,59.9395,1.1399999999999935
40,50175,5/11/2018,50175,0,FTNT,60.38,1713479,60.1826,0.22000000000000597
41,50176,5/14/2018,50176,0,FTNT,59.55,1295836,59.9214,-0.8300000000000054
42,50177,5/15/2018,50177,0,FTNT,59.29,1280255,59.1359,-0.259999999999998
43,50178,5/16/2018,50178,0,FTNT,58.61,1365005,58.7146,-0.6799999999999997
44,50179,5/17/2018,50179,0,FTNT,58.29,1552236,58.2309,-0.3200000000000003
45,50180,5/18/2018,50180,0,FTNT,58.52,1512028,58.6947,0.23000000000000398
46,50181,5/21/2018,50181,0,FTNT,59.32,2164740,59.284,0.7999999999999972
47,50182,5/22/2018,50182,0,FTNT,58.77,1352777,59.0412,-0.5499999999999972
48,50183,5/23/2018,50183,0,FTNT,59.17,968400,58.9176,0.3999999999999986
49,50184,5/24/2018,50184,0,FTNT,60.64,2584202,60.1921,1.4699999999999989
50,50185,5/25/2018,50185,0,FTNT,60.37,838884,60.3271,-0.2700000000000031
51,50186,5/29/2018,50186,0,FTNT,59.93,1475178,60.1387,-0.4399999999999977
52,50187,5/30/2018,50187,0,FTNT,61.18,1312766,61.0842,1.25
53,50188,5/31/2018,50188,0,FTNT,61.18,2020931,61.4183,0.0
54,50189,6/1/2018,50189,0,FTNT,62.0,1255396,61.9246,0.8200000000000003
55,50190,6/4/2018,50190,0,FTNT,62.47,1135769,62.1482,0.46999999999999886
56,50191,6/5/2018,50191,0,FTNT,63.2,1464656,62.8396,0.730000000000004
57,50192,6/6/2018,50192,0,FTNT,63.29,1380748,63.2294,0.0899999999999963
58,50193,6/7/2018,50193,0,FTNT,61.5,1745604,61.9386,-1.7899999999999991
59,50194,6/8/2018,50194,0,FTNT,62.53,1315050,62.2726,1.0300000000000011
60,50195,6/11/2018,50195,0,FTNT,63.25,908735,63.1196,0.7199999999999989
61,50196,6/12/2018,50196,0,FTNT,64.11,1263400,63.8,0.8599999999999994
62,50197,6/13/2018,50197,0,FTNT,64.69,1872996,64.7403,0.5799999999999983
63,50198,6/14/2018,50198,0,FTNT,65.74,1678570,65.7572,1.0499999999999972
64,50199,6/15/2018,50199,0,FTNT,65.28,2620459,65.4728,-0.45999999999999375
65,50200,6/18/2018,50200,0,FTNT,66.17,2435586,65.9012,0.8900000000000006
66,50201,6/19/2018,50201,0,FTNT,64.32,2693762,63.81,-1.8500000000000085
67,50202,6/20/2018,50202,0,FTNT,65.08,1231486,65.2304,0.7600000000000051
68,50203,6/21/2018,50203,0,FTNT,64.74,1038257,64.6604,-0.3400000000000034
69,50204,6/22/2018,50204,0,FTNT,63.93,2304188,63.9217,-0.8099999999999952
70,50205,6/25/2018,50205,0,FTNT,62.12,2315228,62.1969,-1.8100000000000023
71,50206,6/26/2018,50206,0,FTNT,62.87,1426388,62.8632,0.75
72,50207,6/27/2018,50207,0,FTNT,61.8,1423267,62.691,-1.0700000000000003
73,50208,6/28/2018,50208,0,FTNT,62.45,963698,61.8914,0.6500000000000057
74,50209,6/29/2018,50209,0,FTNT,62.43,1869329,62.6209,-0.020000000000003126
75,50210,7/2/2018,50210,0,FTNT,63.93,939207,63.4241,1.5
76,50211,7/3/2018,50211,0,FTNT,63.59,599681,63.7534,-0.3399999999999963
77,50212,7/5/2018,50212,0,FTNT,64.33,1770901,64.0832,0.7399999999999949
78,50213,7/6/2018,50213,0,FTNT,64.97,718809,64.8477,0.6400000000000006
79,50214,7/9/2018,50214,0,FTNT,64.77,1082307,64.7271,-0.20000000000000284
80,50215,7/10/2018,50215,0,FTNT,65.41,1000345,65.453,0.6400000000000006
81,50216,7/11/2018,50216,0,FTNT,65.66,740286,65.6174,0.25
82,50217,7/12/2018,50217,0,FTNT,67.23,797868,66.9024,1.5700000000000074
83,50218,7/13/2018,50218,0,FTNT,66.56,976113,66.5835,-0.6700000000000017
84,50219,7/16/2018,50219,0,FTNT,66.23,543892,66.3582,-0.3299999999999983
85,50220,7/17/2018,50220,0,FTNT,66.94,1203731,66.9388,0.7099999999999937
86,50221,7/18/2018,50221,0,FTNT,66.81,1409185,66.8563,-0.12999999999999545
