,Unnamed: 0,date,index,day_index,ticker,close,volume,vwap,change
47,74598,5/22/2018,74598,0,LRCX,197.9109,2778833,198.2943,3.0322999999999922
48,74599,5/23/2018,74599,0,LRCX,198.2327,1969899,197.2858,0.3217999999999961
49,74600,5/24/2018,74600,0,LRCX,199.2662,2123976,198.0491,1.0335000000000036
50,74601,5/25/2018,74601,0,LRCX,196.9846,2263656,197.3646,-2.2815999999999974
51,74602,5/29/2018,74602,0,LRCX,195.2783,2049477,195.3575,-1.7062999999999988
52,74603,5/30/2018,74603,0,LRCX,196.7896,2812140,197.3343,1.5113000000000056
53,74604,5/31/2018,74604,0,LRCX,193.2308,3078345,194.0582,-3.5588000000000193
54,74605,6/1/2018,74605,0,LRCX,197.6184,3437129,196.6119,4.38760000000002
55,74606,6/4/2018,74606,0,LRCX,199.4807,2805866,198.473,1.8623000000000047
56,74607,6/5/2018,74607,0,LRCX,197.8633,2507890,198.6297,-1.6174000000000035
57,74608,6/6/2018,74608,0,LRCX,195.6772,3925376,194.9861,-2.1861000000000104
58,74609,6/7/2018,74609,0,LRCX,185.1096,12775159,183.9929,-10.567599999999999
59,74610,6/8/2018,74610,0,LRCX,184.3254,5272645,183.3768,-0.7841999999999985
60,74611,6/11/2018,74611,0,LRCX,180.0905,5443367,181.0754,-4.23490000000001
61,74612,6/12/2018,74612,0,LRCX,183.247,3661519,181.7111,3.1565000000000225
62,74613,6/13/2018,74613,0,LRCX,180.9531,4489454,181.9867,-2.293900000000008
63,74614,6/14/2018,74614,0,LRCX,177.6005,4386642,178.9325,-3.3525999999999954
64,74615,6/15/2018,74615,0,LRCX,174.8949,4355259,175.3529,-2.705600000000004
65,74616,6/18/2018,74616,0,LRCX,170.7678,4518718,171.52599999999995,-4.127100000000013
66,74617,6/19/2018,74617,0,LRCX,169.9346,3736232,169.8924,-0.833200000000005
67,74618,6/20/2018,74618,0,LRCX,171.1011,2775870,170.8078,1.1665000000000134
68,74619,6/21/2018,74619,0,LRCX,172.5814,3282743,173.3334,1.4802999999999997
69,74620,6/22/2018,74620,0,LRCX,171.25799999999995,2950348,171.4183,-1.3234000000000492
70,74621,6/25/2018,74621,0,LRCX,167.6407,3618014,166.9534,-3.6172999999999433
71,74622,6/26/2018,74622,0,LRCX,170.5032,3506053,170.8322,2.862499999999983
72,74623,6/27/2018,74623,0,LRCX,166.4545,2685755,168.5697,-4.048699999999997
73,74624,6/28/2018,74624,0,LRCX,167.5035,3354573,165.9006,1.0490000000000066
74,74625,6/29/2018,74625,0,LRCX,169.4444,3201829,170.075,1.9408999999999992
